ID,Title,"Title-English Translated"
2695,"सिमेन्ट, कन्कि्रट, आदिवाट वनाउने हयूम पाइप, ब्लक, रिङ्ग आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Cement, kankirata, introductions legalization hayuma pipes, blocks, ringtones, etc. installations or activities predecessors."
2696,"ढुङ्गा, रोडा आदि वनाउने प्रतिष्ठानहरु वा  क्रियाकलापहरु।","Stone, gravel, etc. installations or activities predecessors."
2699,"अन्यत्र उल्लेख नभएका गैह्र धातु  जन्य बस्तुहरु जस्तै ग्राफाइट , खनिज अभ्रक बनाउने कृयाकलापहरु।","Made with non-metal objects not mentioned elsewhere such as graphite, mica mineral activities are making."
2710,"फलाम वा स्टीलका रड, ड्रम, पाता, तार, प्लेट आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Iron or steel rod, drum, sheet, wire, plate, etc. installations or activities predecessors."
2720,"वहुमुल्य धातु जस्तै सुन चाँदी तामा, आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Vahumulya metal such as gold, silver, copper, etc., as vehicle installations or activities."
2731,"ढलुवा फलाम वाट किटका भाँडाकुडा  वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Watt iron pots GBV desk kitaka installations or activities."
2732,"ढलुवा फलाम वाट किटका भाँडाकुडा  वाहेक अन्य सामान वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Desk accessories other than iron pots kitaka Watt predecessors installations or activities."
2811,"फलामका ढोका, झयाल, ग्रील, सटर आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Iron door, windows, grill, shutter, etc. installations or activities predecessors."
2812,"धातुका ट्याँकी, सिलीण्डर, कन्टेनर, आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Metal tank, silindara, container, etc., as vehicle installations or activities."
2891,"धातुका सामान गलाउने, पिट्ने, धातुको रड वनाउने , धातुलाइ धलो वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Metal smelting goods, beatings, a metal rod that GBV, GBV dhatulai dhalo installations or activities."
2892,"धातुका वस्तुहरु रंगाउने वा त्यसमा लेख्ने क्रियाकलापहरु।","Metal objects painter or writing activities it."
2893,"घरायसी हाते सामानहरु जस्तै हसिंया, कुटो, वन्चरो, चक्कु, कोदालो आदि वनाउने  क्रियाकलापहरु।","Household products like hand hasinya, pruning, vancaro, knife, etc. GBV activities."
2899,"सियो, सानो तार, किला आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Needles, small wires, Fort legalization installations or activities."
2911,"पानी घट्ट, टर्वाइन, सोलर वर्क आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Water turbines, turbine, solar installations or activities GBV work, etc.."
2912,"पम्प, वासर, भल्भ आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Pumps, leaky, valves, etc., as vehicle installations or activities."
2913,"क्लच, गेअर, चेन आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Clutch, gear, chain, etc. as vehicle installations or activities."
2914,"स्टोभ, वर्नर आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Stove, Werner etc. installations or activities predecessors."
2915,"सामान उचाल्ने वा समाउने मेशिन वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Goods lift or hold the machine installations or activities predecessors."
2919,"अन्य मेशिनहरु जस्तै  पंखा ,  तौलेने मेशिन , छर्कने , छाप्ने , ए. सि , आदि प्रतिष्ठानहरु वा क्रियाकलापहरु।","Other machines such as a fan, taulene machine, sprinkling, printing, e. Si, etc., installations or activities."
2921,"कृषि, पशु, र वन संवन्धि कम गर्ने साधनहरु जस्तै थेशर, कंरौती पशु आहार आदि वनाउने  क्रियाकलापहरु।","Agriculture, livestock, and forest resources to reduce such calls for thesara, kanrauti animal nutrition activities predecessors."
2922,"मेशिनका पार्टपूर्जा वनाउने जस्तै   पीध्ने , पे्रस गर्ने , चिल्याउने पुर्जा बनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Like its predecessors, exacerbated partapurja pidhne, Talking to, cilyaune parts making installations or activities."
2923,"धातुका मेशिनका सामान वा पार्टपूजा वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Metal, exacerbated the goods or installations, or activities partapuja predecessors."
2924,"खानी तथा उत्खनन् को काममा प्रयोग हुने मेशिन उत्पादन गर्ने प्रतिष्ठानहरु वा क्रियाकलापहरु।","The machine used to work the mines and quarry production installations or activities."
2925,"खाद्य , पेय र सुर्ति जन्य वस्तु उत्पादन  गर्ने मेशिन जस्तै चुरोट वनाउने मेशिन , चिज वनाउने मेशिन , दूध प्रशोधन गर्ने मेशिन वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Food, beverages and tobacco, machinery and produce goods such as cigarettes legalization of consensual machine, cheese machine GBV, GBV milk processing plant installations or activities."
2926,"कपडा वा छालाका वस्तुहरु जस्तै तान, धागो कात्ने चर्खा आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Fabric or leather goods such as air, spinning jenny, etc. installations or activities predecessors."
2927,"वारुद, गोली, वन्दुक आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Kgs, shoot, guns, etc. installations or activities predecessors."
2929,"विषेश उद्धेश्यका मेशिनहरु जस्तै   कपडा काट्ने मेशिन , टाएर वनाउने मेशीन वनाउने प्रतिष्ठानहरु।","Special purpose machines such as textile cutting machinery, taera GBV GBV Machine installations."
2930,"अन्यत्र उल्ख नगरिएका घरेलु उपकरणहरु जस्तै रेफि्रजीरेटर , पंखा , कुकर ,  हिटर , भ्याकुम क्लीनर , फलफूलको रस निचर्ने मेशिन वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Elsewhere ulkha silent rephirajiretara as domestic devices, fans, cookers, heaters, vacuum cleaners, fruit juice machine legalization nicarne installations or activities."
3000,"फोटोकपी, टाइपराइटर, कम्प्युटरु, प्रीन्टर, क्यालकुलेटर आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Photocopying, typewriter, kampyutaru, printara, calculators, etc. installations or activities predecessors."
3110,"जेनेटर, ट्रान्सफर्मर, व्याट्री चार्जर आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Jenetara, transformers, battery chargers, etc. installations or activities predecessors."
3120,"विजुलीको स्विच, एम्पीयर मिटर, मिटर फ्युज आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Switch, ampere meter, the meter fuse, etc. installations or activities predecessors."
3130,"विजुलीको वाइरीङ्गको तार आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Vairingako electric wire, etc. installations or activities predecessors."
3140,"सवै प्रकारका व्याट्री वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","All types of battery installations or activities predecessors."
3150,"विजुली वत्तिका सामान जस्तै विजुलीको चिम,इन्फ्रा रेड चिम, फिलामेण्ट, अल्ट्राभाइलेट आदि वनाउने कार्यहरु।","Electric lighting accessories such as electric light bulb, the infra-red light bulb, philamenta, ultraviolet, etc. works legalization."
3190,"अन्यत्र उल्लेख नभएका विजुलीका सामान जस्तै  इलेक्ट्रीक कम्प्रेशर , वाइरिङ सेट , चोक वनाउने कार्यहरु।","As mentioned elsewhere goods without electricity Electric Compressor, set vairina, court actions predecessors."
3210,"विद्युतिय भल्भ , ट्यूव र विद्युतिय अन्य सामान जस्तै  फोटो क्याथोड , माइक्रो मोडल वनाउने  कार्यहरु।","Electric valves, and electronic accessories such as photo tyuva kyathoda, micro modal functions legalization."
3220,"रेडीयो, टेलीभिजन, क्यामरा, टेलिफोन आदि बनाउने क्रियाकलापहरु।","Radio, television, camera, telephone, etc. to make activities."
3230,"विभिन्न प्रकारका रिसिभरहरु जस्तै यएर फोन, क्यासेट, टेप आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","As various kinds of risibharaharu yaera phone, cassette, tape, etc. installations or activities predecessors."
3311,"मेडीकल,सर्जिकल,अर्थोपेडिक कार्यमा प्रयोग हुने सामान वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Medical, surgical, orthopedic goods to be used in the work of its predecessors installations or activities."
3312,"मापन गर्ने र नियन्त्रण गर्ने सामानहरु जस्तै थर्मोमिटर, व्यारोमिटर, मेजरिड टेप आदि वनाउने क्रियाकलापहरु।","Measurement and control products like thermometers, Barometer, mejarida tape etc. legalization activities."
3313,"औद्योगिक नियन्त्रण गर्ने वस्तुहरु जस्तै :  प्रेशर, तापक्रम, कन्ट्रोल चार्ट आदि वनाउने क्रियाकलापहरु।","Industrial control objects such as: pressure, temperature, control charts, etc. GBV activities."
3320,"चस्मा,क्यामरा, वाइनाकुलर, टेलीस्कोप आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Eyeglasses, cameras, vainakulara, telescope, etc. installations or activities predecessors."
3330,"घडी, घडीका पूर्जा, घडीको चेन ( मेटलको ) आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Clock, clock rage, clock chain (metal), etc. installations or activities predecessors."
3420,"मोटरको वडी बनाउने क्रियाकलापहरु।","Vadi vehicles making activities."
3599,"टाँगा, गाडा, रिक्सा आदि वनाउने  क्रियाकलापहरु।","Sleighs, carts, rickshaws etc. GBV activities."
3610,"घरायसी, कार्यालय, प्रयोगशाला आदिमा प्रयोगहुन फर्नीचर वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Household, office, laboratory installations, or activities in the beginning, prayogahuna furniture predecessors."
3691,"सुन, चाँदी, हीरा आदिका गहना  वनाउने क्रियाकलापहरु।","Gold, silver, diamond jewelry, etc. GBV activities."
3692,"हार्विन, तवला, पियानो, मादल आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Harvina, drum, piano, danced, etc. installations or activities predecessors."
3693,"खेलकुदका सामान जस्तै स्पोर्ट शुज, वल, पन्जा, बोट  आदि वनाउने प्रतिष्ठानहरु वा क्रियाकलापहरु।","Sporting Goods Sport as suja, Wall, gloves, plants, etc. installations or activities predecessors."
3694,"खेलौना र खेलका सामान जस्तै पुतली, खेलौना, खेलौना मोटर, तास आदि वनाउने क्रियाकलापहरु।","Toys and games accessories such as doll, toy, toy car, card, etc. GBV activities."
3699,"छाता, टांक, कांइयो, व्रुस आदि वनाउने क्रियाकलापहरु।","Umbrella, button, kamiyo, vrusa etc. GBV activities."
3710,"खेर फालेका धातु वा धातुका टुक्रा पुनः प्रयोग गरी सामान वनाउने क्रियाकलापहरु।","Pieces of metal or metal re-use spent GBV activities and goods."
3720,"खेर फालेका कपडा र कपडाका टुक्रा पुनः प्रयोग गरी सामान वनाउने क्रियाकलापहरु।","Textiles and textile pieces, re-using spent luggage GBV activities."
4010,"विद्युत उत्पादन,संकलन र वितरण गर्ने प्रतिष्ठान वा क्रियाकलापहरु।","Electricity production, collection and distribution of establishments or activities."
4020,"ग्यांसका उत्पादन तथा वितरण जस्तै घर , उद्योग र अन्य प्रयागकर्तालाइ ग्यांस वितरण गर्ने कार्यहरु।","Gyansaka production and distribution such as home, industry and other prayagakartalai gyansa distribution functions."
4100,"पानीको संकलन  शुद्धिकरण र वितरण गर्ने प्रतिष्ठान वा क्रियाकलापहरु।","Collection and distribution of water purification installations or activities."
4510,"निर्माण स्थलको तयारी कार्य जस्तै साइट सम्म गर्ने वा वनाउने कार्यहरु।","Construction site preparation work until the site or its predecessors works like."
4520,"पुल, ढल, सडक, नहर,भवन आदि बनाउन  प्रतिष्ठान वा क्रियाकलापहरु।","Bridge, sewer, roads, canals, buildings etc. establishment or activities."
4530,"भवन वनाउदा विद्युत , पानी , इन्सुलेशन कार्य , दूरसंचारका उपकरण जडान गर्ने  कार्यहरु।","Building vanauda electricity, water, insulation work, Installation of telecommunications equipment functions."
4540,"डकर्मी, सिकर्मी र ल्पम्बिड गर्ने क्रियाकलापहरु।","Masons, carpenters, and the activities lpambida."
4550,"निर्माण गर्ने वा भत्काउने प्रयोजनका लगि डोजर , क्रेन , लरी आदि अप्रेटर सहित भाडामा लगाउने कार्यहरु।","The purpose of building or dismantling put excavators, cranes, including Laurie, etc. rented wear apretara functions."
5010,"मोटर, भेहिकलको थोक र खुद्रा विक्री गर्ने प्रतिष्ठान वा क्रियाकलापहरु।","Motor, vehicle wholesale and retail establishments selling or activities."
5020,"मोटर, भेहिकलको मर्मत र सर्भिसिड गर्ने प्रतिष्ठान वा क्रियाकलापहरु।","Motor, vehicle repair and sarbhisida the establishment or activities."
5030,"मोटर, भेहिकलको पार्ट  पूर्जाको  विक्री गर्ने प्रतिष्ठान वा क्रियाकलापहरु।","Motor, Vehicle Part rage selling establishments or activities."
5040,"मोटर, मोटरसाइकलको थोक र खुद्रा विक्री गर्ने प्रतिष्ठान वा क्रियाकलापहरु।","Motor, motor vehicle wholesale and retail establishments selling or activities."
5050,"पेट्रोलीयम पदार्थ ( पेट्रोल, डिजेल, मोबिल ) को थोक विक्री गर्ने क्रियाकलापहरु।","Petroleum products (petrol, diesel, Mobil) to wholesale and selling activities."
5110,"शुल्क लिइ वा करारका आधारमा गरिने थोक विक्री गर्ने कार्यहरु।","Charges will be forwarded, or the basis of the wholesale selling functions."
5121,"अप्रशोधित खाद्य बस्तु र जीवीत पशुपंगीको विक्री गर्ने क्रियाकलापहरु।","Untreated food items and selling activities pasupangiko yea."
5122,"प्रशोधित खाद्यन्न, फलफूल, तरकारी,चिया,कफी,सूर्ति आदिको विक्री गर्ने क्रियाकलापहरु।","Processed food supplies, fruits, vegetables, tea, coffee, tobacco, etc. and selling activities."
5131,"कपडा, लुगा, जुत्ताको थोक विक्री गर्ने क्रियाकलापहरु।","Textiles, clothing, shoes wholesale and selling activities."
5139,"घरायसी सामान जस्तै :  छाला, औषधी, कस्मेटीक सामान, इलेक्ट्रेानिक वस्तु, इलेक्ट्रीकल (विजुली) का वस्तु, पत्रीका, पुस्तक, गहना, घडी आदिको थोक विक्री गर्ने क्रियाकलापहरु।","Household goods such as leather, medicine, kasmetika goods, ilektreanika object, electrical (electric) of the object, derailment, book, jewelry, watches, etc. wholesale and selling activities."
